person_id,jmeno,profese,afiliace_kategorie,afiliace
2637,"prof. MUDr. Vladimír Tesař, DrSc., MBA, FASN, FERA, FISN",lekar,nezarazeno,"ERN RITA, VFN"
3028,"Mgr. Pavlína Žílová",nelekar_vs,nezarazeno,"MZ, CAU"
3089,"MUDr. Lenka Štěpánková, Ph.D.",lekar,nezarazeno,"Společnost pro léčbu závislosti na tabáku"
3270,"Bc. Ivona Mikulenková",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester"
3379,"Pavel Nesměrák",bez_titulu,neuvedeno,""
3381,"Ing. Lucie Súkupová, Ph.D.",nelekar_vs,nezarazeno,"Česká společnost fyziků v medicíně, z.s."
3443,"Mgr. Claudia Varhol",nelekar_vs,nezarazeno,"Svaz obcí a měst České republiky | Svaz měst a obcí ČR"
3718,"Mgr. Markéta Švejdová Jandová, DiS.",nelekar_vs,nezarazeno,"OZP MZ"
3726,"Bc. Michaela Kolářová, MBA",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester"
3899,"Renata Marková",bez_titulu,neuvedeno,""
3909,"MUDr. Eliška Selinger, MSc.",lekar,nezarazeno,"WHO"
4035,"Mgr. David Kolář",nelekar_vs,nezarazeno,"výkonný ředitel AIFP"
4124,"Ing. Magdalena Vondráčková, Ph.D.",nelekar_vs,nezarazeno,"předsedkyně LK Svazu zdravotních pojišťoven ČR"
4227,"MUDr. Tomáš Doležal, Ph.D.",lekar,nezarazeno,"Národní institut kvality a excelence zdravotnictví"
70,"MUDr. Jiří Bartoš, MBA",lekar,nezarazeno,"KOC KN Liberec"
183,"prof. MUDr. Milan Brázdil, Ph.D., FRCP",lekar,nezarazeno,"ERN EpiCARE, FNuSA"
339,"prof. MUDr. Jan Daneš, CSc.",lekar,nezarazeno,"Asociace mamodiagnostiků ČR"
374,"MUDr. Jiří Dolák",lekar,nezarazeno,"A.N.O. - Asociace nestátních organizací"
430,"Ing. Vladimír Drvota",nelekar_vs,nezarazeno,"SSN ČR"
759,"doc. MUDr. Iva Holmerová, Ph.D.",lekar,nezarazeno,"vedoucí Centra pro studium dlouhověkosti a dlouhodobé péče FHS UK ředitelka Gerontologického centra"
776,"prof. MUDr. Jiří Horáček, Ph.D., FCMA",lekar,nezarazeno,"ředitel, Národní institut duševního zdraví"
956,"prof. MUDr. Pavel Jansa, Ph.D.",lekar,nezarazeno,"zástupce České biskupské konference"
1003,"RNDr. Libor Judas, Ph.D.",nelekar_vs,nezarazeno,"Česká společnost fyziků v medicíně"
1012,"Ing. Eva Jursíková",nelekar_vs,nezarazeno,"Státní úřad pro jadernou bezpečnost"
1069,"prof. MUDr. Josef Kautzner, CSc.",lekar,nezarazeno,"člen od 1.1.2024"
1127,"doc. MUDr. Radim Kočvara, CSc., FEAPU",lekar,nezarazeno,"ERN eUrogen, VFN"
1133,"Mgr. Lukáš Kohoutek",nelekar_vs,nezarazeno,"Česká koalice proti tabáku"
1156,"MUDr. Petr Kolouch, MBA",lekar,nezarazeno,"Asociace ZZS ČR"
1228,"Mgr. Ondřej Krahula, MBA",nelekar_vs,nezarazeno,"Společnost radiologických asistentů ČR"
1243,"prof. MUDr. Eva Králíková, CSc.",lekar,nezarazeno,"Společnost pro léčbu závislosti na tabáku"
1870,"Jindřiška Pavlicová",sestra_nelekar_zdrav,nezarazeno,"zdravotní sestra, Česká asociace sester Praha"
2020,"doc. MUDr. Jana Prausová, Ph.D., MBA",lekar,nezarazeno,"KOC MN Ústí nad Labem"
2051,"JUDr. Ing. Lukáš Prudil, Ph.D.",pravnik,nezarazeno,"advokát, Brno"
2107,"prof. MUDr. Irena Rektorová, Ph.D.",lekar,nezarazeno,"členka od 1.9.2025"
2154,"MUDr. Irena Rubešová",lekar,nezarazeno,"bez hlasovacího práva"
2253,"PeadDr. Markéta Skalická",bez_titulu,nezarazeno,"Asociace zrakových terapeutů, z. s."
2267,"prim. MUDr. Miroslava Skovajsová, Ph.D.",lekar,nezarazeno,"Asociace mamodiagnostiků ČR"
2413,"Mgr. Kateřina Svěcená, Ph.D.",nelekar_vs,nezarazeno,"Česká asociace ergoterapeutů"
2500,"Bc. Alena Šindelářová",nelekar_vs,nezarazeno,"Česká komora farmaceutických asistentů"
2572,"prof. MUDr. Vladimír Šrámek, Ph.D., EDIC",lekar,nezarazeno,"ČSIM"
2796,"prof. MUDr. Jiří Vencovský",lekar,nezarazeno,"ERN ReCONNET, Rehabilitační ústav"
2925,"PhDr. Radka Wilhelmová, Ph.D.",nelekar_vs,nezarazeno,"Unie porodních asistentek"
2956,"Mgr. Jiří Zatřepálek",nelekar_vs,nezarazeno,"Česká asociace adiktologů"
3016,"MUDr. Miroslav Zvolsky",lekar,nezarazeno,"bez hlasovacího práva"
3104,"Jan Matera",bez_titulu,neuvedeno,""
3178,"Bc. Hana Pekárková",sestra_nelekar_zdrav,nezarazeno,"zástupce Pracoviště ošetřovatelské péče Hradec Králové, s.r.o."
3179,"Andrea Turková",sestra_nelekar_zdrav,nezarazeno,"zástupce Pracoviště ošetřovatelské péče Hradec Králové, s.r.o."
3180,"Mgr. Lucie Brožková",nelekar_vs,nezarazeno,"KDP Sluníčko, zástupce Grémia manažerů agentur domácí péče"
3183,"Lucie Linkeová, BA",bez_titulu,pojistovna,"vedoucí odboru nelůžkových služeb zdravotního úseku ČPZP, zástupce Svazu zdravotních pojišťoven"
3285,"Mgr. Jaroslava Nováková",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester"
3290,"MUDr. Vít Lorenc",lekar,nezarazeno,"ANČM"
3312,"Ing. Šárka Dvořáková",nelekar_vs,nezarazeno,"SVPZP"
3314,"Václav Antonín",bez_titulu,nezarazeno,"SČOO - trvalý náhradní člen"
3315,"Mgr. Jan Zahálka",nelekar_vs,nezarazeno,"SČOO"
3316,"Ing. Michal Maštalíř",nelekar_vs,nezarazeno,"CzechMed - trvalý náhradní člen"
3317,"Mgr. Monika Hradecká",nelekar_vs,nezarazeno,"CzechMed"
3318,"Bc. Vladan Princ",nelekar_vs,nezarazeno,"APZZP"
3394,"Mgr. Jana Patková",pravnik,nezarazeno,"zástupce Odboru legislativně-právního"
3431,"Mgr. Petra Vytasil Krajíčková, MBA",sestra_nelekar_zdrav,nezarazeno,"zástupce České asociace sester"
3432,"Bc. Jana Šnýdrová",nelekar_vs,nezarazeno,"zástupce Asociace domácí péče ČR"
3436,"Mgr. Jana Pivovarčíková",nelekar_vs,nezarazeno,"Asociace českých a moravských nemocnic"
3438,"Bc. Gabriela Klausová, DiS.",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester - Sekce asistentů ochrany a podpory veřejného zdraví"
3439,"Mgr. Veronika Hauerová",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester - Sekce zdravotních laborantů"
3487,"Ing. Kateřina Talašová",nelekar_vs,nezarazeno,"Úřad vlády ČR"
3520,"Ing. Vladimír Novotný",nelekar_vs,nezarazeno,"Komise RAK ČR pro zdravotnictví"
3617,"Marie Hájek Salomonová, MSci.",bez_titulu,neuvedeno,""
3618,"Alena Müllerová",bez_titulu,neuvedeno,""
3635,"PhDr. Ivana Mádlová",nelekar_vs,nezarazeno,"zástupce Výboru pro zdravotnictví PS Parlamentu ČR"
3689,"doc. MUDr. Jiří Klempíř, Ph.D.",lekar,nezarazeno,"ERN-RND, VFN"
3692,"doc. MUDr. Petra Lišková, Ph.D.",lekar,nezarazeno,"ERN EYE, VFN"
3723,"Petra Pařízková",bez_titulu,nezarazeno,"Česká společnost porodních asistentek"
3737,"Markéta Vítková",bez_titulu,neuvedeno,""
3783,"Ing. Marek Mikulka",nelekar_vs,nezarazeno,"SVPZP - trvalý náhradní člen"
3806,"Věra Ryšavá",bez_titulu,neuvedeno,""
3812,"Mgr. Jana Heřmanová",nelekar_vs,nezarazeno,"zástupce Asociace zdravotnických škol"
3867,"doc. MUDr. Lenka Foretová, Ph.D.",lekar,nezarazeno,"ERN GENTURIS, Masarykův onkologický ústav"
3878,"MUDr. Tomáš Malík",lekar,nezarazeno,"Sdružení soukromých gynekologů ČR"
3911,"Bc. Veronika Hažlinská",nelekar_vs,nezarazeno,"Unie porodních asistentek, z.s."
3912,"Ing. Klečková Jana",nelekar_vs,nezarazeno,"VVD MZ"
3914,"Mgr. Tereza Vránová",nelekar_vs,nezarazeno,"EFI MZ"
3925,"Drahoslava Kolací",bez_titulu,nezarazeno,"Sdružení pro rehabilitaci osob po cévních mozkových příhodách, z. s."
3927,"Ing. Jiřina Landová",nelekar_vs,nezarazeno,"Unie ROSKA z.s (https://www.roska.eu/)"
3930,"Mgr. Luboš Zajíc",nelekar_vs,nezarazeno,"Sjednocená organizace nevidomých a slabozrakých ČR, z. s. (https://www.sons.cz/)"
3931,"Mgr. Jana Romanová",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester"
3932,"Mgr. Andrea Poloková",nelekar_vs,nezarazeno,"Mamila, o. z."
3933,"Michaela Topinková",bez_titulu,nezarazeno,"Přirozené kojení"
3934,"Ing. Andrea Kredbová",nelekar_vs,nezarazeno,"SpoKojení, z. s."
3937,"Mgr. Lucie Hradecká",nelekar_vs,nezarazeno,"Úřad vlády ČR"
3944,"Mgr. BcA. Kristýna Hrdličková",nelekar_vs,nezarazeno,"NUDZ"
3951,"Petr Bannert",bez_titulu,nezarazeno,"zástupce Ministerstva školství, mládeže a tělovýchovy"
3972,"Bc. Markéta Rydvalová",nelekar_vs,nezarazeno,"Svaz měst a obcí ČR"
3974,"brig. gen. Ing Petr Ošlejšek, Ph.D.",nelekar_vs,nezarazeno,"Generální ředitelství HZS ČR"
3978,"Ing. Pavel Švagr, CSc.",nelekar_vs,nezarazeno,"Správa státních hmotných rezerv"
3979,"Ing. Miloslav Novák",nelekar_vs,nezarazeno,"Správa státních hmotných rezerv"
3990,"plk. PhDr. Jaromír Bischof",nelekar_vs,nezarazeno,"Policejní prezidium ČR"
3992,"ThLic. Tomáš Kotrlý, Th.D.",bez_titulu,jine_ministerstvo,"Ministerstvo pro místní rozvoj"
4016,"Iva Vystrčilová",bez_titulu,neuvedeno,""
4031,"Ing. Michaela Vostřáková",nelekar_vs,nezarazeno,"Státní úřad pro jadernou bezpečnost"
4033,"doc. MUDr. Regina Demlová, Ph.D.",lekar,nezarazeno,"ředitelka CZECRIN"
4034,"Mgr. Radek Halouzka, MBA",pravnik,nezarazeno,"vedoucí právního oddělení, Masarykův onkologický ústav"
4052,"Šárka Tavanzi",bez_titulu,neuvedeno,""
4054,"Žofie Vojáčková",bez_titulu,neuvedeno,""
4058,"Bc. Kateřina Čechová, DiS.",nelekar_vs,nezarazeno,"zástupce ZZS hl. m. Prahy"
4070,"prof. MUDr. Marcela Grünerová-Lippertová, Ph.D.",lekar,nezarazeno,"Česká neurorehabilitační společnost, z. s."
4071,"Mgr. Jakub Pětioký, MBA",nelekar_vs,nezarazeno,"Česká neurorehabilitační společnost, z. s."
4072,"Mgr. Ilona Benková",nelekar_vs,nezarazeno,"Česká neurorehabilitační společnost, z. s."
4074,"Mgr. Anna Rejtarová",nelekar_vs,nezarazeno,"Česká asociace ergoterapeutů"
4075,"Mgr. Ondřej Němeček",nelekar_vs,nezarazeno,"Unie fyzioterapeutů ČR"
4098,"Mgr. Martin Dymáček",nelekar_vs,nezarazeno,"APZZP – trvalý náhradní člen"
4106,"Tomáš Kelbich, BBA, MHA",bez_titulu,neuvedeno,""
4115,"PhDr. Miloslav Klugar, Ph.D.",nelekar_vs,nezarazeno,"Metodické centrum NIKEZ"
4136,"Ing. Martin Mesršmíd",nelekar_vs,nezarazeno,"DIA"
4137,"Ing. Čeněk Merta, Ph.D., MBA",nelekar_vs,nezarazeno,"FNOL"
4145,"Veronika Novotná",bez_titulu,neuvedeno,""
4148,"Eva Schönherrová",bez_titulu,nezarazeno,"zástupce České biskupské konference"
4150,"Mgr. Gabriela Hůlková",nelekar_vs,nezarazeno,"zástupkyně Svazu měst a obcí ČR"
4151,"Libor Helis",bez_titulu,nezarazeno,"zástupce Svazu měst a obcí ČR"
4161,"prof. MUDr. Václav Liška, Ph.D.",lekar,nezarazeno,"člen od 1.9.2025"
4169,"Tereza Vojtěchová",bez_titulu,jine_ministerstvo,"zástupce Panelu mládeže při MŠMT"
4170,"Jan Mráz",bez_titulu,jine_ministerstvo,"zástupce Panelu mládeže při MŠMT"
4172,"MUDr. Petr Vaculík",lekar,nezarazeno,"místopředseda ACRO-CZ"
4175,"Mgr. Erika Minářová",sestra_nelekar_zdrav,nezarazeno,"Národní centrum ošetřovatelství a nelékařských zdravotnických oborů"
4178,"Pavla Ratajová",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester Sekce zdravotně – sociálních pracovníků"
4180,"Olga Jůzová",bez_titulu,nezarazeno,"Česká asociace zdravotních laborantů"
4181,"Ing. Jan Červený",nelekar_vs,nezarazeno,"Federace ortopedických protetiků technických oborů"
4183,"Ing. Květa Pelinková, MBA",nelekar_vs,nezarazeno,"Komora vysokoškolsky vzdělaných odborných pracovníků ve zdravotnictví"
4184,"Mgr. Klára Kučerová, Ph.D.",nelekar_vs,nezarazeno,"Unie fyzioterapeutů ČR"
4185,"Mgr. Věra Andrášková",sestra_nelekar_zdrav,nezarazeno,"Česká asociace sester - Sekce nutričních terapeutů"
4186,"Bc. Alexandra Seidlová",nelekar_vs,nezarazeno,"Komora zubních techniků ČR"
4187,"Mgr. Bc. Barbora Hráčková",nelekar_vs,nezarazeno,"Česká společnost ortoptistek"
4188,"Mgr. et Mgr. Martin Svoboda",nelekar_vs,nezarazeno,"Česká asociace adiktologů"
4191,"Bc. Kateřina Žaloudková, DiS.",nelekar_vs,nezarazeno,"Společenstvo českých optiků a optometristů"
4192,"Ing. Tereza Kislingerová",nelekar_vs,nezarazeno,"Česká společnost pro zdravotnickou techniku"
4194,"Marta Matušková, DiS., MBA",nelekar_vs,nezarazeno,"Asociace dentálních hygienistek ČR"
4197,"Karla Maříková",bez_titulu,mz_urednik,"náměstkyně ministra"
4212,"PhDr. Mgr. Pavla Kudlová, Ph.D., MBA",sestra_nelekar_zdrav,nezarazeno,"zástupkyně Spolku vysokoškolsky vzdělaných sester"
4222,"MUDr. Mgr. Ing. Bc. Dalimil Chocholáč, Ph.D., MBA, LL.M.",lekar,nezarazeno,"Česká společnost pro akreditaci ve zdravotnictví"
4223,"JUDr. Barbora Steinlauf, MA, Ph.D.",pravnik,nezarazeno,"advokátka, Praha"
4226,"prof. MUDr. Petr Ošťádal, Ph.D.",lekar,nezarazeno,"Česká kardiologická společnost"
4234,"Jitka Ondráčková",bez_titulu,neuvedeno,""
4238,"MUDr. Markéta Pospíšková, Ph.D.",lekar,nezarazeno,"KOC KN Zlín"
4240,"MUDr. Jaromír Richter",lekar,nezarazeno,"KOC Nový Jičín"
4243,"MUDr. Hana Korunková",lekar,nezarazeno,"spolupracující pracoviště Karlovy Vary"
4245,"MUDr. Kateřina Jirsová",lekar,nezarazeno,"Zástupce ROC"
4248,"Mgr. Kateřina Azim Aburas",nelekar_vs,nezarazeno,"AIPO, z. s."
4249,"Bc. Martina Smolíková",nelekar_vs,nezarazeno,"Asociace rodičů a přátel zdravotně postižených dětí v ČR, z. s."
4250,"JUDr. Nataša Randlová",pravnik,nezarazeno,"CEREBRUM – Asociace osob po získaném poškození mozku, z. s."
4251,"Jiří Pavlát, MBA",nelekar_vs,nezarazeno,"Česká společnost AIDS pomoc, z. s."
4252,"MUDr. Jan Šťastný",lekar,nezarazeno,"České ILCO, z. s."
4253,"Bc. Lucie Halbrštátová",nelekar_vs,nezarazeno,"DIALOGOS, z. s."
4254,"Martina Sehnoutková",bez_titulu,nezarazeno,"ENDO Talks CZ, z. s."
4255,"Ing. Jana Nováčková",nelekar_vs,nezarazeno,"Ondřej, sdružení na pomoc duševně nemocným, z. s."
4257,"Ing. Petr Ilčík",nelekar_vs,nezarazeno,"Popálky, z. ú."
4259,"MUDr. Anežka Dašková",lekar,nezarazeno,"SMÁci, z. s."
4260,"PhDr. Tereza Hradilová",nelekar_vs,nezarazeno,"Svaz neslyšících a nedoslýchavých osob v ČR, z. s."
4261,"Roman Herink",bez_titulu,nezarazeno,"Unie pečujících, z. s."
4262,"PhDr. Adéla Holubová",nelekar_vs,nezarazeno,"ZAHOJÍME, z. s."
4290,"MUDr. Milena Dokoupilová",lekar,nezarazeno,"Česká neonatologická společnost"
4291,"Mgr. Petra Dostálová",nelekar_vs,nezarazeno,"Kancelář veřejného ochránce práv a ochránce práv dětí"
4292,"Ing. Jitka Götzová",nelekar_vs,nezarazeno,"MZe - odbor bezpečnosti potravin"
4293,"Ing. Pavla Gomba, Ph.D.",nelekar_vs,nezarazeno,"Dětský fond Organizace spojených národů"
4295,"Mgr. Daniela Hrnčířová, Ph.D.",nelekar_vs,nezarazeno,"Česká asociace nutričních terapeutů"
4296,"Ing. Martina Kovaříková",pravnik,nezarazeno,"MPO - oddělení metodiky, vzdělávání a správních činností"
4297,"Martina Kučerová, DiS.",nelekar_vs,nezarazeno,"Unie laktačních poradkyň, z. s."
4298,"Eva Welge, MSc., BSc.",bez_titulu,nezarazeno,"Česká komora porodních asistentek"
4303,"Matěj Misař",bez_titulu,nezarazeno,"Česká asociace umělé inteligence"
4304,"Mgr. Lukáš Kačena",nelekar_vs,nezarazeno,"vládní zmocněnec pro umělou inteligenci"
